PLAYER,TEAM,STATUS,DETAIL,DATE
Kevin Porter Jr.,MIL,GTD,,
Kevin Durant,HOU,GTD,,
Anthony Davis,WAS,GTD,,
Jayson Tatum,BOS,GTD,,
Jimmy Butler III,GSW,INJ,,
Bam Adebayo,MIA,GTD,,
Zach Edey,MEM,GTD,,
Tyler Herro,MIL,GTD,,
Jalen Brunson,NYK,GTD,,
Jaren Jackson Jr.,UTA,GTD,,
Brandon Miller,CHA,GTD,,
Alex Sarr,WAS,GTD,,
Giannis Antetokounmpo,MIA,GTD,,
Josh Giddey,CHI,GTD,,
Brandon Ingram,TOR,GTD,,
Mark Williams,PHX,INJ,,
Jalen Williams,OKC,GTD,,
Keegan Murray,SAC,GTD,,
Franz Wagner,ORL,GTD,,
Donte DiVincenzo,MIN,INJ,,
Isaiah Hartenstein,OKC,GTD,,
Ajay Mitchell,OKC,GTD,,
Zach LaVine,SAC,GTD,,
Santi Aldama,DAL,GTD,,
Domantas Sabonis,SAC,GTD,,
Peyton Watson,CLE,GTD,,
Trae Young,WAS,GTD,,
Moses Moody,GSW,INJ,,
Ja Morant,POR,GTD,,
Shaedon Sharpe,POR,INJ,,
Scotty Pippen Jr.,MEM,GTD,,
Collin Murray-Boyles,TOR,GTD,,
Dereck Lively II,DAL,GTD,,
Jamir Watkins,WAS,INJ,,
Jaylen Wells,MEM,GTD,,
De'Andre Hunter,SAC,GTD,,
Jordan Miller,LAC,INJ,,
Zach Collins,CHI,GTD,,
Steven Adams,HOU,GTD,,
Kentavious Caldwell-Pope,PHI,GTD,,
Keshon Gilbert,ATL,GTD,,
Bryce McGowens,NOP,GTD,,
Mouhamed Gueye,ATL,GTD,,
Walter Clayton Jr.,MEM,GTD,,
