PLAYER,MY_RANK,TIER,ADP,PCT_DRAFTED,ADP_PREV,YAHOO_RANK,X_RANK,AVOID,NOTE
AJ Dybantsa,125,,75.9,100.0,75.9,,95.0,False,
AJ Green,,,79.2,4.0,73.3,260.0,258.0,False,
Aaron Gordon,133,,111.5,28.0,111.9,156.0,119.0,False,
Aaron Nesmith,143,,75.3,5.0,75.3,199.0,147.0,False,
Aaron Wiggins,,,92.4,4.0,92.4,271.0,187.0,False,
Ace Bailey,,,116.7,26.0,116.8,152.0,152.0,False,
Adama Bal,,,,,,489.0,,True,
Aday Mara,,,91.5,5.0,91.5,,620.0,False,
Adem Bona,,,85.4,3.0,85.4,189.0,243.0,False,
Ajay Mitchell,115,,110.2,10.0,109.7,142.0,130.0,False,
Al Horford,,,86.6,2.0,86.6,248.0,200.0,False,
Alex Caruso,,,94.5,5.0,94.5,282.0,218.0,False,
Alex Sarr,116,,60.8,100.0,60.9,56.0,68.0,False,
Allen Graves,,,98.4,2.0,98.4,,598.0,True,
Alondes Williams,,,,,,512.0,,True,
Alperen Sengun,20,,18.6,100.0,18.6,23.0,25.0,False,
Amen Thompson,23,,29.3,100.0,29.2,31.0,21.0,False,
Andersson Garcia,,,,,,517.0,,True,
Andre Drummond,,,,,,241.0,182.0,False,
Andrew Nembhard,130,,121.5,32.0,121.3,130.0,105.0,False,
Andrew Wiggins,90,,109.9,98.0,109.9,109.0,93.0,False,
Anfernee Simons,,,113.0,3.0,113.0,181.0,181.0,False,
Anthony Black,148,,119.4,27.0,119.4,143.0,153.0,False,
Anthony Davis,29,,24.9,100.0,25.0,21.0,44.0,False,
Anthony Edwards,9,,14.7,100.0,14.9,8.0,7.0,False,
Anthony Gill,,,,,,343.0,,True,
Ausar Thompson,65,,90.8,100.0,90.9,92.0,90.0,False,
Austin Reaves,15,,22.5,100.0,22.4,24.0,20.0,False,
Ayo Dosunmu,114,,106.3,96.0,106.3,101.0,110.0,False,
Bam Adebayo,35,,34.0,100.0,34.0,36.0,32.0,False,
Baylor Scheierman,,,,,,210.0,249.0,False,
Ben Sheppard,,,,,,306.0,,True,
Bennedict Mathurin,,,121.5,5.0,121.5,175.0,162.0,False,
Bez Mbeng,,,,,,431.0,,True,
Bilal Coulibaly,,,,,,185.0,190.0,False,
Blake Hinson,,,,,,468.0,,True,
Bobby Portis,,,117.1,3.0,117.1,150.0,140.0,False,
Bones Hyland,,,,,,300.0,291.0,True,
Branden Carlson,,,,,,380.0,,True,
Brandin Podziemski,84,,113.8,91.0,113.9,107.0,116.0,False,
Brandon Ingram,53,,75.4,99.0,75.4,77.0,55.0,False,
Brandon Miller,44,,49.6,100.0,49.6,46.0,40.0,False,
Brandon Williams,,,,,,288.0,278.0,True,
Brayden Burries,,,,,,,188.0,False,
Brice Sensabaugh,,,,,,258.0,256.0,True,
Bronny James,,,77.0,2.0,,,464.0,True,
Brook Lopez,,,77.9,3.0,77.9,139.0,165.0,False,
Bruce Brown,,,,,,266.0,264.0,True,
Bryce McGowens,,,,,,372.0,,True,
Bub Carrington,,,,,,240.0,262.0,False,
Buddy Hield,,,,,,307.0,,True,
CJ McCollum,80,,111.1,99.0,111.1,115.0,107.0,False,
Cade Cunningham,7,,8.4,100.0,8.5,5.0,5.0,False,
Caleb Love,,,,,,390.0,,True,
Caleb Wilson,75,,80.5,100.0,80.5,,82.0,False,
Cam Spencer,,,,,,208.0,246.0,True,
Cam Whitmore,,,,,,419.0,193.0,True,
Cameron Boozer,51,,62.7,100.0,62.7,,57.0,False,
Cameron Johnson,,,107.9,4.0,107.9,148.0,172.0,False,
Cameron Payne,,,,,,366.0,,True,
Caris LeVert,,,,,,303.0,293.0,True,
Cason Wallace,103,,114.6,15.0,114.1,154.0,126.0,False,
Cedric Coward,78,,100.5,99.0,100.7,108.0,81.0,False,
Chaney Johnson,,,,,,438.0,,True,
Charles Bassey,,,,,,451.0,,True,
Chet Holmgren,34,,21.1,100.0,21.1,19.0,27.0,False,
Christian Braun,110,,118.5,14.0,118.5,167.0,143.0,False,
Clint Capela,,,,,,296.0,287.0,True,
Coby White,58,,87.2,99.0,87.1,85.0,83.0,False,
Cody Williams,,,,,,326.0,,True,
Collin Gillespie,139,,124.8,13.0,125.2,131.0,137.0,False,
Collin Murray-Boyles,82,,121.1,48.0,121.0,128.0,111.0,False,
Collin Sexton,,,116.9,3.0,116.9,187.0,161.0,False,
Cooper Flagg,8,,11.0,93.0,11.1,13.0,13.0,False,
Corey Kispert,,,,,,320.0,,True,
Cormac Ryan,,,,,,457.0,,True,
Craig Porter Jr.,,,,,,301.0,292.0,False,
DaQuan Jeffries,,,,,,477.0,,True,
Daeqwon Plowden,,,,,,376.0,,True,
Damian Lillard,77,,71.9,100.0,71.9,,58.0,False,
Daniel Gafford,,,99.4,5.0,99.4,134.0,170.0,False,
Daniss Jenkins,,,,,,224.0,154.0,False,
Danny Wolf,,,,,,334.0,,True,
Dariq Whitehead,,,,,,514.0,,True,
Darius Acuff Jr.,105,,110.7,97.0,110.6,,156.0,False,
Darius Garland,52,,58.4,100.0,58.3,53.0,61.0,False,
Darryn Peterson,100,,93.3,99.0,93.2,,113.0,False,
David Roddy,,,,,,491.0,,True,
Davion Mitchell,102,,111.9,10.0,111.3,137.0,109.0,False,
Day'Ron Sharpe,68,,91.5,100.0,91.7,88.0,87.0,False,
De'Aaron Fox,93,,82.3,99.0,82.3,84.0,73.0,False,
De'Andre Hunter,,,,,,236.0,177.0,False,
De'Anthony Melton,,,,,,204.0,189.0,False,
