PLAYER,PLAYER_ID,TEAM,POS,SEASON,GP,MIN,PTS,FG3M,REB,AST,STL,BLK,TOV,FGM,FGA,FTM,FTA,PRIOR_RANK
Nikola Jokic,86194577,DEN,C,2025-26,65.0,34.85,27.7,1.7,12.9,10.7,1.4,0.8,3.7,9.9,17.4,6.1,7.4,2.0
Victor Wembanyama,81882772,SAS,C,2025-26,64.0,29.15,25.0,1.9,11.5,3.1,1.0,3.1,2.4,8.6,16.9,5.8,7.0,1.0
Shai Gilgeous-Alexander,31934838,OKC,PG,2025-26,68.0,33.22,31.1,1.7,4.3,6.6,1.4,0.8,2.2,10.8,19.4,7.9,9.0,4.0
Kawhi Leonard,51509773,TOR,"SG,SF,PF",2025-26,65.0,32.07,27.9,2.6,6.4,3.6,1.9,0.4,2.0,9.8,19.4,5.7,6.4,18.0
Tyrese Maxey,53898480,PHI,PG,2025-26,70.0,38.0,28.3,3.1,4.1,6.6,1.9,0.8,2.4,9.9,21.4,5.3,6.0,6.0
Luka Doncic,13007237,LAL,"PG,SG",2025-26,64.0,35.77,33.5,4.0,7.7,8.3,1.6,0.5,4.0,10.8,22.8,7.9,10.1,3.0
Donovan Mitchell,48328444,CLE,"PG,SG",2025-26,70.0,33.45,27.9,3.2,4.5,5.7,1.5,0.3,2.8,9.7,20.0,5.3,6.1,11.0
Jamal Murray,6995783,DEN,PG,2025-26,75.0,35.35,25.4,3.3,4.4,7.1,0.9,0.4,2.3,8.8,18.1,4.6,5.2,17.0
Stephen Curry,32406825,GSW,PG,2025-26,43.0,30.9,26.6,4.4,3.6,4.7,1.1,0.4,2.8,8.7,18.6,4.7,5.1,25.0
Lauri Markkanen,47416201,UTA,"SF,PF",2025-26,42.0,34.35,26.7,2.7,6.9,2.1,1.0,0.5,1.5,9.1,19.2,5.7,6.4,44.0
Trey Murphy III,66679684,NOP,"SG,SF",2025-26,66.0,35.47,21.5,3.2,5.7,3.8,1.5,0.4,1.8,7.5,15.9,3.3,3.7,30.0
Walker Kessler,30943788,LAL,C,2025-26,5.0,30.8,14.4,1.2,10.8,3.0,1.4,1.8,3.2,5.2,7.4,2.8,4.0,26.0
Scottie Barnes,5825685,TOR,"SF,PF,C",2025-26,80.0,33.5,18.1,0.9,7.5,5.9,1.4,1.5,2.6,7.1,14.0,3.0,3.7,15.0
Anthony Edwards,48819813,MIN,"PG,SG",2025-26,61.0,35.02,28.8,3.4,5.0,3.7,1.4,0.8,2.9,9.9,20.2,5.7,7.2,8.0
Kevin Porter Jr.,38868823,MIL,"PG,SG",2025-26,38.0,33.17,17.4,1.2,5.2,7.4,2.2,0.5,2.9,6.3,13.5,3.6,4.1,110.0
Kevin Durant,68731263,HOU,"SG,SF,PF",2025-26,78.0,36.4,26.0,2.4,5.5,4.8,0.8,0.9,3.2,9.2,17.6,5.2,6.0,14.0
Chet Holmgren,39812001,OKC,"PF,C",2025-26,69.0,28.93,17.1,1.3,8.9,1.7,0.6,1.9,1.6,6.3,11.3,3.3,4.1,19.0
Kadary Richmond,12152827,WAS,"SF,PF",2025-26,3.0,22.32,8.3,0.7,3.3,2.7,2.7,0.3,0.7,3.3,5.3,1.0,1.0,519.0
Anthony Davis,53865655,WAS,"PF,C",2025-26,20.0,31.3,20.4,0.5,11.1,2.8,1.1,1.7,2.1,8.5,16.7,3.0,4.1,21.0
Jalen Johnson,1205983,ATL,"SF,PF",2025-26,72.0,35.17,22.5,1.7,10.3,7.9,1.2,0.4,3.4,8.3,17.1,4.2,5.3,10.0
Cade Cunningham,24564865,DET,"PG,SG",2025-26,64.0,33.93,23.9,2.0,5.5,9.9,1.4,0.8,3.7,8.6,18.6,4.8,6.0,5.0
Jayson Tatum,27021860,BOS,"SF,PF",2025-26,16.0,32.62,21.8,2.9,10.0,5.3,1.4,0.2,2.4,7.4,17.9,4.1,4.9,7.0
Karl-Anthony Towns,5540642,NYK,"PF,C",2025-26,75.0,30.95,20.1,1.5,11.9,3.0,0.9,0.5,2.5,6.9,13.8,4.8,5.5,16.0
James Harden,34382094,CLE,"PG,SG",2025-26,70.0,34.82,23.6,3.1,4.8,8.0,1.1,0.4,3.5,7.0,16.0,6.6,7.5,35.0
Joel Embiid,66945377,PHI,C,2025-26,38.0,31.6,26.9,1.4,7.7,3.9,0.6,1.2,2.9,9.0,18.3,7.5,8.8,48.0
Michael Porter Jr.,40134657,BKN,"SF,PF",2025-26,52.0,32.47,24.2,3.4,7.1,3.0,1.1,0.3,2.3,8.5,18.4,3.8,4.4,67.0
Jimmy Butler III,45505131,GSW,"SF,PF",2025-26,38.0,31.1,20.0,0.8,5.6,4.9,1.4,0.2,1.6,6.3,12.2,6.5,7.6,129.0
Nickeil Alexander-Walker,77261764,ATL,"PG,SG",2025-26,78.0,33.37,20.8,3.2,3.4,3.7,1.3,0.5,2.1,7.0,15.3,3.6,3.9,55.0
Derrick White,61029452,BOS,"PG,SG",2025-26,77.0,34.08,16.5,2.7,4.4,5.4,1.1,1.3,1.7,5.7,14.4,2.4,2.6,39.0
Austin Reaves,58643127,LAL,"PG,SG,SF",2025-26,51.0,34.55,23.3,2.3,4.7,5.5,1.1,0.4,3.0,7.3,14.9,6.3,7.3,24.0
Ty Jerome,65627775,MEM,"PG,SG",2025-26,15.0,22.6,19.7,2.8,2.8,5.7,1.1,0.3,1.8,6.8,14.3,3.3,3.7,87.0
Jalen Duren,33799835,DET,C,2025-26,70.0,28.22,19.5,0.0,10.5,2.0,0.8,0.8,1.9,7.5,11.5,4.6,6.1,29.0
Paul George,58961287,BOS,"SF,PF",2025-26,37.0,30.67,17.3,2.7,5.3,3.6,1.7,0.4,1.7,6.1,13.9,2.5,3.0,75.0
Amen Thompson,62895785,HOU,"PG,SG",2025-26,79.0,37.37,18.3,0.3,7.8,5.3,1.5,0.6,2.4,7.1,13.2,3.8,4.9,31.0
Donovan Clingan,68729651,POR,C,2025-26,77.0,27.18,12.1,1.1,11.6,2.1,0.6,1.7,1.2,4.6,8.9,1.8,2.6,38.0
Bam Adebayo,49757819,MIA,"PF,C",2025-26,73.0,32.4,20.1,1.7,10.0,3.2,1.2,0.7,1.6,6.9,15.7,4.5,5.8,36.0
Onyeka Okongwu,94618838,ATL,C,2025-26,74.0,31.03,15.2,1.9,7.6,3.1,1.1,1.1,1.7,5.6,11.6,2.1,2.7,57.0
OG Anunoby,24312426,NYK,"SF,PF",2025-26,67.0,33.18,16.7,2.3,5.2,2.2,1.6,0.7,1.8,5.8,12.0,2.7,3.3,60.0
