PLAYER,TEAM,POS,ADP,AVG_ROUND,PCT_DRAFTED,X_RANK
Victor Wembanyama,SAS,C,1.8,,100%,
Nikola Jokić,DEN,C,2.8,,100%,
Luka Dončić,LAL,"PG,SG",4.8,,100%,
Shai Gilgeous-Alexander,OKC,PG,6.2,,100%,
Cade Cunningham,DET,"PG,SG",8.6,,100%,
Cooper Flagg,DAL,"SG,SF,PF",11.0,,93%,
Tyrese Maxey,PHI,PG,11.2,,100%,
Giannis Antetokounmpo,MIA,"PF,C",12.4,,100%,
Jayson Tatum,BOS,"SF,PF",12.5,,100%,
Scottie Barnes,TOR,"SF,PF,C",14.1,,100%,
Anthony Edwards,MIN,"PG,SG",15.2,,100%,
Karl-Anthony Towns,NYK,"PF,C",15.2,,100%,
Kevin Durant,HOU,"SG,SF,PF",15.5,,100%,
Jalen Johnson,ATL,"SF,PF",16.5,,100%,
Alperen Şengün,HOU,"PF,C",18.4,,100%,
Jamal Murray,DEN,PG,18.6,,100%,
Donovan Mitchell,CLE,"PG,SG",19.8,,100%,
Kawhi Leonard,LAC,"SG,SF,PF",20.0,,100%,
Chet Holmgren,OKC,"PF,C",21.1,,100%,
Tyrese Haliburton,IND,"PG,SG",22.4,,100%,
Austin Reaves,LAL,"PG,SG,SF",22.4,,100%,
LaMelo Ball,MIN,PG,22.6,,100%,
Jalen Brunson,NYK,PG,22.9,,100%,
Stephen Curry,GSW,PG,23.7,,100%,
Anthony Davis,WAS,"PF,C",24.9,,100%,
Trae Young,WAS,PG,26.6,,100%,
Amen Thompson,HOU,"PG,SG",29.2,,100%,
Walker Kessler,LAL,C,29.6,,100%,
Josh Giddey,CHI,"PG,SG",29.9,,100%,
Jalen Duren,DET,C,31.4,,100%,
Devin Booker,PHX,"PG,SG",31.5,,100%,
Jaylen Brown,PHI,"SG,SF,PF",32.0,,100%,
Evan Mobley,CLE,"PF,C",32.3,,100%,
Bam Adebayo,MIA,"PF,C",33.9,,100%,
Domantas Sabonis,SAC,"PF,C",35.3,,100%,
Deni Avdija,POR,"SG,SF,PF",35.3,,100%,
