PLAYER,TEAM,POS,STATUS,PRE_RANK,CUR_RANK,PCT_OWNED,GP,MIN,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,PTS,REB,AST,STL,BLK,TOV
Nikola Jokić,DEN,"C",,2,1,100%,65,34:51,9.9,17.4,.569,6.1,7.4,.831,1.7,27.7,12.9,10.7,1.4,0.8,3.7
Victor Wembanyama,SAS,"C",,1,2,100%,64,29:09,8.6,16.9,.512,5.8,7.0,.827,1.9,25.0,11.5,3.1,1.0,3.1,2.4
Shai Gilgeous-Alexander,OKC,"PG",,4,3,100%,68,33:13,10.8,19.4,.553,7.9,9.0,.879,1.7,31.1,4.3,6.6,1.4,0.8,2.2
Kawhi Leonard,LAC,"SG,SF,PF",,18,4,99%,65,32:04,9.8,19.4,.505,5.7,6.4,.892,2.6,27.9,6.4,3.6,1.9,0.4,2.0
Tyrese Maxey,PHI,"PG",,6,5,100%,70,38:00,9.9,21.4,.462,5.3,6.0,.892,3.1,28.3,4.1,6.6,1.9,0.8,2.4
Luka Dončić,LAL,"PG,SG",,3,6,100%,64,35:46,10.8,22.8,.476,7.9,10.1,.780,4.0,33.5,7.7,8.3,1.6,0.5,4.0
Donovan Mitchell,CLE,"PG,SG",,11,7,99%,70,33:27,9.7,20.0,.483,5.3,6.1,.865,3.2,27.9,4.5,5.7,1.5,0.3,2.8
Jamal Murray,DEN,"PG",,17,8,99%,75,35:21,8.8,18.1,.483,4.6,5.2,.887,3.3,25.4,4.4,7.1,0.9,0.4,2.3
Stephen Curry,GSW,"PG",,25,9,99%,43,30:54,8.7,18.6,.468,4.7,5.1,.923,4.4,26.6,3.6,4.7,1.1,0.4,2.8
Lauri Markkanen,UTA,"SF,PF",,44,10,95%,42,34:21,9.1,19.2,.477,5.7,6.4,.896,2.7,26.7,6.9,2.1,1.0,0.5,1.5
Trey Murphy III,NOP,"SG,SF",,30,11,97%,66,35:28,7.5,15.9,.470,3.3,3.7,.886,3.2,21.5,5.7,3.8,1.5,0.4,1.8
Walker Kessler,LAL,"C",,26,12,99%,5,30:48,5.2,7.4,.703,2.8,4.0,.700,1.2,14.4,10.8,3.0,1.4,1.8,3.2
Scottie Barnes,TOR,"SF,PF,C",,15,13,99%,80,33:30,7.1,14.0,.507,3.0,3.7,.815,0.9,18.1,7.5,5.9,1.4,1.5,2.6
Anthony Edwards,MIN,"PG,SG",,8,14,100%,61,35:01,9.9,20.2,.489,5.7,7.2,.796,3.4,28.8,5.0,3.7,1.4,0.8,2.9
Kevin Porter Jr.,MIL,"PG,SG",GTD,110,15,61%,38,33:10,6.3,13.5,.465,3.6,4.1,.878,1.2,17.4,5.2,7.4,2.2,0.5,2.9
Kevin Durant,HOU,"SG,SF,PF",GTD,14,16,99%,78,36:24,9.2,17.6,.520,5.2,6.0,.874,2.4,26.0,5.5,4.8,0.8,0.9,3.2
Chet Holmgren,OKC,"PF,C",,19,17,99%,69,28:56,6.3,11.3,.557,3.3,4.1,.792,1.3,17.1,8.9,1.7,0.6,1.9,1.6
Kadary Richmond,WAS,"SF,PF",NA,519,18,0%,3,22:19,3.3,5.3,.625,1.0,1.0,1.000,0.7,8.3,3.3,2.7,2.7,0.3,0.7
Anthony Davis,WAS,"PF,C",GTD,21,19,99%,20,31:18,8.5,16.7,.506,3.0,4.1,.728,0.5,20.4,11.1,2.8,1.1,1.7,2.1
