PLAYER,GP,MIN,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,PTS,REB,AST,STL,BLK,TOV
Nikola Jokić,71,,735,1282,.573,386,471,.820,119,1975,926,717,108,53,241
Shai Gilgeous-Alexander,73,,783,1457,.537,563,636,.885,127,2256,338,462,115,62,163
Victor Wembanyama,68,,612,1179,.519,396,481,.823,130,1750,774,230,69,230,188
Tyrese Maxey,69,,626,1341,.467,338,382,.885,213,1803,247,397,111,41,152
Cooper Flagg,75,,706,1486,.475,358,426,.840,104,1874,577,389,101,76,191
Luka Dončić,66,,674,1431,.471,505,646,.782,248,2101,507,539,104,32,249
Anthony Edwards,76,,728,1555,.468,421,515,.817,265,2142,427,266,97,53,231
Donovan Mitchell,67,,617,1322,.467,331,388,.853,219,1784,326,372,100,20,174
Karl-Anthony Towns,73,,530,1041,.509,332,391,.849,126,1518,833,256,63,43,186
Amen Thompson,72,,503,926,.543,282,367,.768,27,1315,563,364,117,67,157
Jamal Murray,68,,580,1228,.472,294,333,.883,204,1658,284,453,70,31,148
Tyrese Haliburton,68,,418,905,.462,169,198,.854,186,1191,231,607,86,43,118
Dyson Daniels,72,,409,792,.516,76.0,123,.618,47,941,474,403,174,40,136
Matas Buzelis,76,,540,1154,.468,245,309,.793,208,1533,538,206,77,115,177
Trey Murphy III,68,,502,1084,.463,257,293,.877,221,1482,399,245,86,35,118
Kawhi Leonard,60,,535,1056,.507,266,303,.878,138,1474,369,201,101,29,113
Kel'el Ware,76,,442,836,.529,84.0,117,.718,108,1076,731,80,71,109,83
Jayson Tatum,68,,582,1278,.455,324,395,.820,220,1708,625,363,71,31,177
Kon Knueppel,79,,578,1212,.477,220,253,.870,300,1676,432,307,63,21,180
Donovan Clingan,73,,386,716,.539,141,215,.656,73,986,954,168,52,146,113
Jalen Johnson,65,,532,1069,.498,278,352,.790,106,1448,636,500,86,41,203
Austin Reaves,70,,517,1085,.476,463,532,.870,170,1667,375,401,74,24,184
Lauri Markkanen,68,,543,1173,.463,327,367,.891,195,1608,545,130,61,31,100
Scottie Barnes,71,,532,1105,.481,236,299,.789,78,1378,551,360,103,96,199
Onyeka Okongwu,75,,425,884,.481,171,224,.763,148,1169,607,214,79,95,118
Cade Cunningham,69,,625,1354,.462,323,389,.830,142,1715,418,656,85,52,277
Derrick White,73,,428,1011,.423,151,172,.878,214,1221,317,382,76,85,122
Chet Holmgren,66,,415,770,.539,212,270,.785,93,1135,631,130,44,140,109
N. Alexander-Walker,80,,523,1152,.454,242,281,.861,241,1529,276,278,86,43,140
Stephen Curry,66,,526,1161,.453,273,294,.929,292,1617,254,315,62,23,167
Jalen Williams,69,,535,1079,.496,225,278,.809,97,1392,453,363,96,37,141
Ryan Rollins,70,,481,998,.482,149,184,.810,178,1289,345,399,115,35,195
Payton Pritchard,78,,545,1167,.467,122,140,.871,235,1447,329,383,64,11,100
Walker Kessler,67,,364,567,.642,185,294,.629,35,948,800,116,48,178,111
Brandon Miller,68,,526,1202,.438,294,336,.875,241,1587,354,269,78,49,178
