PLAYER,X_RANK,ADP_PRERANK
Victor Wembanyama,1,1.8
Nikola Jokić,2,2.7
Luka Dončić,3,4.7
Shai Gilgeous-Alexander,4,6.0
Cade Cunningham,5,8.4
Tyrese Maxey,6,11.0
Anthony Edwards,7,14.7
Jayson Tatum,8,12.2
Giannis Antetokounmpo,9,12.1
Jalen Johnson,10,16.2
Donovan Mitchell,11,19.3
Tyrese Haliburton,12,21.9
Cooper Flagg,13,11.0
Scottie Barnes,14,14.2
Kevin Durant,15,15.5
Karl-Anthony Towns,16,15.2
Jamal Murray,17,18.7
Josh Giddey,18,30.0
Trae Young,19,26.6
Austin Reaves,20,22.5
Amen Thompson,21,29.3
Domantas Sabonis,22,35.2
LaMelo Ball,23,22.5
Devin Booker,24,31.7
Alperen Şengün,25,18.6
Stephen Curry,26,23.8
Chet Holmgren,27,21.1
Evan Mobley,28,32.3
Jalen Brunson,29,22.9
James Harden,30,38.5
Jaylen Brown,31,32.2
Bam Adebayo,32,34.0
Kawhi Leonard,33,19.9
Lauri Markkanen,34,43.9
Trey Murphy III,35,35.9
Jalen Duren,36,31.4
Walker Kessler,37,29.6
Jalen Williams,38,44.8
Donovan Clingan,39,40.7
Brandon Miller,40,49.6
Derrick White,41,44.8
LeBron James,42,40.7
Jaren Jackson Jr.,43,54.5
Anthony Davis,44,24.9
Kon Knueppel,45,37.1
Desmond Bane,46,54.7
Deni Avdija,47,35.4
Kyrie Irving,48,49.0
Franz Wagner,49,53.8
Onyeka Okongwu,50,56.9
Keyonte George,51,52.6
Paolo Banchero,52,37.5
Michael Porter Jr.,53,67.9
Nickeil Alexander-Walker,54,59.4
Brandon Ingram,55,75.4
Naz Reid,56,64.9
Cameron Boozer,57,62.7
Damian Lillard,58,71.9
Joel Embiid,59,47.9
Dyson Daniels,60,62.8
Darius Garland,61,58.4
Pascal Siakam,62,47.7
Ivica Zubac,63,68.3
Dejounte Murray,64,66.7
Jarrett Allen,65,77.8
Zach Edey,66,70.0
Tyler Herro,67,61.9
Alex Sarr,68,60.8
Kel'el Ware,69,75.4
Ryan Rollins,70,74.5
OG Anunoby,71,61.3
Rudy Gobert,72,76.1
De'Aaron Fox,73,82.3
Payton Pritchard,74,77.1
Julius Randle,75,64.1
Paul George,76,79.6
Stephon Castle,77,56.1
Mikal Bridges,78,75.8
VJ Edgecombe,79,67.0
Matas Buzelis,80,59.3
Cedric Coward,81,100.5
Caleb Wilson,82,80.5
Coby White,83,87.2
Zion Williamson,84,69.8
Norman Powell,85,93.8
Nic Claxton,86,95.4
Day'Ron Sharpe,87,91.5
Immanuel Quickley,88,98.7
Jaden McDaniels,89,78.2
Ausar Thompson,90,90.8
Dylan Harper,91,79.2
Derik Queen,92,80.7
Andrew Wiggins,93,109.9
Jabari Smith Jr.,94,98.8
AJ Dybantsa,95,75.9
Zach LaVine,96,120.4
Kristaps Porziņģis,97,105.9
Miles Bridges,98,98.4
Myles Turner,99,95.6
Josh Hart,100,96.7
Toumani Camara,101,119.3
Isaiah Hartenstein,102,101.9
Ja Morant,103,91.0
Jalen Suggs,104,108.3
Andrew Nembhard,105,121.5
Jusuf Nurkić,106,117.6
CJ McCollum,107,111.1
Peyton Watson,108,115.8
Davion Mitchell,109,111.9
Ayo Dosunmu,110,106.3
Collin Murray-Boyles,111,121.1
John Collins,112,118.9
Darryn Peterson,113,93.3
Jakob Poeltl,114,121.8
Khaman Maluach,115,120.8
Brandin Podziemski,116,113.8
Reed Sheppard,117,114.7
Neemias Queta,118,104.9
Aaron Gordon,119,111.5
Kyshawn George,120,111.5
Kevin Porter Jr.,121,116.4
Devin Vassell,122,117.2
Sandro Mamukelashvili,123,115.1
Yaxel Lendeborg,124,116.1
Jalen Green,125,109.5
Cason Wallace,126,114.6
Jaime Jaquez Jr.,127,105.4
Keegan Murray,128,121.6
Tre Jones,129,
Ajay Mitchell,130,110.2
RJ Barrett,131,111.3
Jrue Holiday,132,116.0
Ty Jerome,133,95.9
Jimmy Butler III,134,120.7
Maxime Raynaud,135,121.1
Fred VanVleet,136,120.6
Collin Gillespie,137,124.8
Paul Reed,138,123.6
Tari Eason,139,
Bobby Portis,140,117.1
Wendell Carter Jr.,141,110.0
Draymond Green,142,112.8
Christian Braun,143,118.5
Nikola Vučević,144,111.9
Moussa Diabaté,145,100.3
Saddiq Bey,146,123.1
Aaron Nesmith,147,75.3
Tobias Harris,148,
Herbert Jones,149,
Dillon Brooks,150,115.5
P.J. Washington,151,119.2
Ace Bailey,152,116.7
Anthony Black,153,119.4
Daniss Jenkins,154,
Jeremiah Fears,155,117.0
Darius Acuff Jr.,156,110.7
Kelly Oubre Jr.,157,112.0
Quentin Grimes,158,121.4
Morez Johnson Jr.,159,123.0
Grayson Allen,160,
Collin Sexton,161,116.9
Bennedict Mathurin,162,121.5
Jerami Grant,163,
Egor Dëmin,164,121.1
Brook Lopez,165,77.9
Yves Missi,166,
Sam Hauser,167,109.6
Isaiah Stewart,168,113.8
Scoot Henderson,169,
Daniel Gafford,170,99.4
Oso Ighodaro,171,
Cameron Johnson,172,107.9
Santi Aldama,173,
Jordan Poole,174,
Dereck Lively II,175,
Kyle Filipowski,176,119.6
De'Andre Hunter,177,
Mitchell Robinson,178,109.9
Julian Champagnie,179,113.1
Kyle Kuzma,180,120.0
Anfernee Simons,181,113.0
Andre Drummond,182,
Deandre Ayton,183,117.6
Max Strus,184,
Jaylen Wells,185,
Rui Hachimura,186,106.2
Aaron Wiggins,187,92.4
Brayden Burries,188,
De'Anthony Melton,189,
Bilal Coulibaly,190,
Scotty Pippen Jr.,191,
Klay Thompson,192,110.8
Cam Whitmore,193,
Obi Toppin,194,
Miles McBride,195,
Luguentz Dort,196,
T.J. McConnell,197,93.5
Keldon Johnson,198,
Jalen Smith,199,
Al Horford,200,86.6
Mikel Brown Jr.,201,122.4
Royce O'Neale,202,
Isaiah Joe,203,
Robert Williams III,204,
Duncan Robinson,205,96.3
Keaton Wagler,206,121.1
Keon Ellis,207,
Malik Monk,208,
Jay Huff,209,
Naji Marshall,210,
Kris Dunn,211,
Max Christie,212,
Shaedon Sharpe,213,114.2
Ryan Kalkbrenner,214,
Derrick Jones Jr.,215,
Donte DiVincenzo,216,
Noah Clowney,217,
Alex Caruso,218,94.5
Luke Kornet,219,87.5
Tristan da Silva,220,
Tim Hardaway Jr.,221,
Tre Johnson,222,
Jake LaRavia,223,
Dylan Cardwell,224,
Jaxson Hayes,225,
Zaccharie Risacher,226,
Ronald Holland II,227,
Kevin Huerter,228,
Sam Merrill,229,
Tony Bradley,230,
Isaiah Jackson,231,
Jaylon Tyson,232,
Jarace Walker,233,
Ja'Kobe Walter,234,
Jordan Goodwin,235,
Jaylin Williams,236,
Khris Middleton,237,
Luke Kennard,238,87.5
Quinten Post,239,
Hannes Steinbach,240,
Moritz Wagner,241,
Kobe Sanders,242,
Adem Bona,243,85.4
Taylor Hendricks,244,
Dennis Schröder,245,
Cam Spencer,246,
Karlo Matković,247,
Jared McCain,248,108.1
Baylor Scheierman,249,
Gui Santos,250,
DeMar DeRozan,251,116.7
Mark Williams,252,102.6
Justin Champagnie,253,
Javonte Green,254,
Harrison Barnes,255,
Brice Sensabaugh,256,
Moses Moody,257,
AJ Green,258,79.2
Russell Westbrook,259,
Goga Bitadze,260,
Precious Achiuwa,261,
Bub Carrington,262,
Gary Payton II,263,
Bruce Brown,264,
Ziaire Williams,265,
Dominick Barlow,266,
Jamal Shead,267,
John Konchar,268,
Jose Alvarado,269,
Jonas Valančiūnas,270,
Marcus Smart,271,
Dru Smith,272,
Pelle Larsson,273,
Vít Krejčí,274,
Jock Landale,275,
Dean Wade,276,
Isaac Okoro,277,
Brandon Williams,278,
Ryan Dunn,279,
Nicolas Batum,280,
Isaiah Collier,281,
Mouhamed Gueye,282,
Simone Fontecchio,283,
Kentavious Caldwell-Pope,284,
Marvin Bagley III,285,
Terance Mann,286,
Clint Capela,287,
Will Richard,288,
Luka Garza,289,
Jordan Walsh,290,
Bones Hyland,291,
Craig Porter Jr.,292,
Caris LeVert,293,
Sion James,294,
Mike Conley,295,
Jonathan Kuminga,363,117.1
Bronny James,464,77.0
Allen Graves,598,98.4
Aday Mara,620,91.5
Johni Broome,673,105.4
